,ID,Test Name,Action,Description,Image(s) Used,,,,,,,,,,,,,,,,,,,
,RC-01,Candidate longest edge does not exceed resolution cap,Longest edge ≤ TEST_RESOLUTION_CAP_MAX (skipped if not set),"Reads c-resolution-cap-test.jpg dimensions from sharp, computes the longest edge (max of width and height), and asserts it's ≤ TEST_RESOLUTION_CAP_MAX. Skipped entirely if the env var is not set. When active, enforces the maximum display resolution to catch images that bypass the downscaling pipeline.",c-resolution-cap-test.jpg,,,,,,,,,,,,,,,,,,,
,RC-02,Resolution chart longest edge does not exceed resolution cap,Longest edge ≤ TEST_RESOLUTION_CAP_MAX (skipped if not set),Same longest-edge check as RC-01 but on quality-resolution-chart.jpg. Tests a different image type (fine-line resolution chart vs photographic content) that might take a different code path through the resize pipeline. Also skipped if TEST_RESOLUTION_CAP_MAX is not set.,quality-resolution-chart.jpg,,,,,,,,,,,,,,,,,,,
,RC-03,All test images have valid dimensions within sane bounds,"Every image: width > 0, height > 0, longest edge ≤ 15000","Scans every image file in TEST_IMAGES_DIR (filtering by common image extensions), opens each with sharp, and asserts width > 0, height > 0, and longest edge ≤ 15000. A bulk sanity check that catches accidentally huge or zero-dimension images that would cause confusing failures or timeouts in other tests.",All images in TEST_IMAGES_DIR,,,,,,,,,,,,,,,,,,,
,RC-04,quality-resolution-chart.jpg has valid dimensions,"Positive dimensions, longest edge ≤ 15000","Opens quality-resolution-chart.jpg with sharp and asserts width > 0, height > 0, and longest edge ≤ 15000. Validates the resolution chart fixture specifically since it's used for fine-detail sharpness analysis in IQ tests.",quality-resolution-chart.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Watermark,,,,,,,,,,,,,,,,,,,,,,,,
,WM-01,Watermark test image loads and is visible in browser,Loads in browser with naturalWidth > 0,"Loads c-sizing-small.jpg as a base64 data URL in a Playwright browser page, waits for the image to fully load, and asserts naturalWidth > 0. A basic browser rendering check using the small fixture (safe data URL size) to ensure the test infrastructure works before running pixel analysis.",c-sizing-small.jpg,,,,,,,,,,,,,,,,,,,
,WM-02,Watermark test image has valid dimensions,Width and height > 0,Opens c-watermark-test.jpg with sharp and asserts width > 0 and height > 0. A smoke test for the watermark fixture — catches file corruption before running the more expensive uniform block analysis.,c-watermark-test.jpg,,,,,,,,,,,,,,,,,,,
,WM-03,Watermark test image has no large uniform rectangular region,Fewer than 95/100 10x10 blocks have variance < 2,"Downsamples c-watermark-test.jpg to 100x100 greyscale, divides it into a 10x10 grid of 10x10-pixel blocks, and computes the pixel variance within each block. Counts how many blocks have variance < 2 (nearly uniform). Asserts fewer than 95 out of 100 blocks are uniform. Watermark overlays typically appear as uniform rectangular regions stamped onto the image.",c-watermark-test.jpg,,,,,,,,,,,,,,,,,,,
,WM-04,Watermark test image has sufficient tonal variation,Tonal range (max - min luminance) > 20,Downsamples c-watermark-test.jpg to 200x200 greyscale and scans all pixels to find the minimum and maximum luminance values. Computes the tonal range (max - min) and asserts it exceeds 20. Ensures the image has enough contrast for watermark detection to be meaningful — a completely flat image would make pixel-diff watermark tests useless.,c-watermark-test.jpg,,,,,,,,,,,,,,,,,,,
,WM-05,Orientation test images have no uniform watermark blocks,Each image has < 20 uniform blocks,"Scans TEST_IMAGES_DIR for Landscape_{1-8} and Portrait_{1-8} files. For each, performs the same 10x10 block variance analysis as WM-03 and asserts fewer than 20 blocks are uniform. Checks that orientation processing doesn't accidentally introduce watermark-like uniform rectangular artifacts across all 16 orientation variants.","Landscape_{1-8}-*.jpg, Portrait_{1-8}-*.jpg",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
API tests,,,,,,,,,,,,,,,,,,,,,,,,
Image Quality (API),,,,,,,,,,,,,,,,,,,,,,,,
,IQ-01,JPEG quality preserved at each CDN size tier,Uploads JPEG and computes SSIM per tier against locally resized version,"Uploads quality-detail.jpg to the test album via the SmugMug Upload API. Queries !sizedetails to get all CDN size tier URLs and dimensions. For each non-original tier, downloads the served image and also creates a locally resized version of the source at the same dimensions using sharp. Computes SSIM between the two. Fails if any tier drops below 0.90, indicating the SmugMug resize/re-encode pipeline introduced visible quality degradation.",quality-detail.jpg,,,,,,,,,,,,,,,,,,,
,IQ-02,Original download matches uploaded file,Compares MD5 of ArchivedUri download against source file,"After uploading quality-detail.jpg, fetches the image record from the API to get ArchivedUri and ArchivedMD5. Computes MD5 (base64) of the original source file and asserts it matches ArchivedMD5. Then downloads the file from ArchivedUri and computes MD5 of the downloaded bytes, asserting it also matches. Ensures the original is stored bit-for-bit without any modification.",quality-detail.jpg,,,,,,,,,,,,,,,,,,,
,IQ-03,Original download preserves file size,Compares ArchivedSize API field against source file byte count,"After uploading quality-detail.jpg, reads the ArchivedSize field from the API image record and compares it against the source file's byte count from fs.statSync. Asserts exact match. Catches silent re-encoding of originals that would change file size even if visual quality appears preserved.",quality-detail.jpg,,,,,,,,,,,,,,,,,,,
,IQ-04,No double-compression on JPEG uploads,Fetches largest non-original tier and compares SSIM against locally resized Q95,"After uploading quality-detail.jpg, finds the largest non-original size tier from !sizedetails (L or XL). Downloads that tier. Also creates a local reference by resizing the source to the same dimensions and encoding as JPEG Q95 using sharp. Computes SSIM between the SmugMug tier and the local reference. Fails below 0.90, which would indicate double-compression artifacts from re-encoding an already-compressed JPEG.",quality-detail.jpg,,,,,,,,,,,,,,,,,,,
,IQ-05,PNG served losslessly at original size,Downloads ArchivedUri and verifies pixel-perfect MD5 match,"Uploads quality-reference.png to the test album. Fetches the image record to get ArchivedUri. Downloads the archived file and computes MD5 hex hash. Compares against MD5 of the original source file. Asserts exact match, ensuring PNG originals are stored without any lossy conversion or re-encoding.",quality-reference.png,,,,,,,,,,,,,,,,,,,
,IQ-06,PNG resized tiers convert to JPEG acceptably,Fetches M and L tiers of uploaded PNG and compares SSIM,"After uploading quality-reference.png, queries !sizedetails and filters for M and L tiers. For each, downloads the served image (which SmugMug converts from PNG to JPEG for resized tiers). Creates a local reference by resizing the source PNG to the same dimensions. Computes SSIM between the SmugMug JPEG tier and the local reference. Fails below 0.90.",quality-reference.png,,,,,,,,,,,,,,,,,,,
,IQ-07,GIF upload preserves original,Uploads GIF and verifies ArchivedUri MD5 matches source,Uploads quality-reference.gif to the test album. Fetches the image record to get ArchivedUri. Downloads the archived file and computes MD5 hex hash. Compares against MD5 of the source GIF. Asserts exact match. Skipped if the GIF file doesn't exist in TEST_IMAGES_DIR.,quality-reference.gif,,,,,,,,,,,,,,,,,,,
,IQ-08,HEIC upload produces viewable JPEG conversion,Uploads HEIC and verifies L/XL tier is valid JPEG with positive dimensions,Uploads quality-reference.heic to the test album. Queries !sizedetails and finds the L or XL tier. Downloads that tier and checks the first two bytes are 0xFF 0xD8 (JPEG magic number). Opens with sharp and asserts width > 0 and height > 0. Validates SmugMug's HEIC-to-JPEG conversion pipeline produces a viewable result. Skipped if the HEIC file doesn't exist.,quality-reference.heic,,,,,,,,,,,,,,,,,,,
,IQ-09,High-ISO image doesn't gain artifacts after resize,Uploads noisy image and compares L tier SSIM against locally resized version,"Uploads quality-noisy.jpg to the test album. Finds the L tier from !sizedetails. Downloads it and also creates a locally resized version of the source at the same dimensions. Computes SSIM between them. Fails below 0.90, catching sharpening halos or noise amplification that SmugMug's resize pipeline might introduce on noisy images.",quality-noisy.jpg,,,,,,,,,,,,,,,,,,,
,IQ-10,Image sharpness maintained after resize,Uploads resolution chart and measures Laplacian variance on M and L tiers,"Uploads quality-resolution-chart.jpg (containing fine lines and high-contrast patterns) to the test album. Finds M and L tiers from !sizedetails. Downloads each, converts to greyscale, applies Laplacian edge detection, and computes variance. Asserts variance > 50 for each tier, catching over-smoothing or loss of fine detail in the resize pipeline.",quality-resolution-chart.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Image Sizing (API),,,,,,,,,,,,,,,,,,,,,,,,
,SZ-01,Each CDN tier serves correct pixel dimensions,Downloads each tier and verifies actual dimensions match !sizedetails,"After uploading c-sizing-landscape.jpg, queries !sizedetails to get all tier URLs with their reported Width and Height. For each tier, downloads the actual image and reads dimensions from sharp metadata. Asserts the actual pixel dimensions exactly match the API-reported dimensions. Catches mismatches between what the API claims and what's actually served.",c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,SZ-02,Aspect ratio preserved across all tiers,Compares each tier's aspect ratio against OriginalWidth/OriginalHeight,"Computes the source aspect ratio from OriginalWidth/OriginalHeight on the API image record. For each non-original tier from !sizedetails, computes the tier's aspect ratio from its Width/Height. Asserts the difference is ≤ 0.02. Detects cropping, padding, or stretching introduced during resize.",c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,SZ-03,Landscape image longest edge matches tier spec,Verifies each tier's longest edge is positive for 6000x4000 upload,"Queries !sizedetails for the uploaded 6000x4000 landscape image. For each non-original tier, computes the longest edge and asserts it's positive. Validates SmugMug's tier sizing logic generates reasonable dimensions for standard landscape images.",c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,SZ-04,Portrait image longest edge matches tier spec,"Uploads 4000x6000 portrait, verifies height >= width at every tier","Uploads c-sizing-portrait.jpg (4000x6000). Queries !sizedetails. For each non-original tier, asserts height >= width. Catches orientation-unaware resize logic that treats all images as landscape and produces landscape-oriented tiers for portrait uploads.",c-sizing-portrait.jpg,,,,,,,,,,,,,,,,,,,
,SZ-05,Square image both edges match tier spec,"Uploads 5000x5000 square, verifies width === height at every tier","Uploads c-sizing-square.jpg (5000x5000). Queries !sizedetails. For each non-original tier, asserts width === height. Catches rounding errors in resize logic that break the 1:1 aspect ratio by even one pixel.",c-sizing-square.jpg,,,,,,,,,,,,,,,,,,,
,SZ-06,Panoramic image sizing preserves aspect ratio,"Uploads 12000x2000 panoramic, checks ratio drift per tier","Uploads c-sizing-panoramic.jpg (12000x2000, ratio 6:1). Computes source ratio from API OriginalWidth/OriginalHeight. For each non-original tier, checks the tier ratio doesn't drift more than 0.1 from the source. Validates extreme aspect ratios aren't cropped or padded during resize.",c-sizing-panoramic.jpg,,,,,,,,,,,,,,,,,,,
,SZ-07,Very tall image sizing preserves aspect ratio,"Uploads 2000x10000 tall image, checks ratio drift per tier","Uploads c-sizing-tall.jpg (2000x10000, ratio 1:5). Same ratio drift check as SZ-06 but for extreme vertical images. Catches height truncation or padding in the resize pipeline.",c-sizing-tall.jpg,,,,,,,,,,,,,,,,,,,
,SZ-08,Small source not upscaled beyond original,"Uploads 400x300 image, verifies no tier exceeds 400x300","Uploads c-sizing-small.jpg (400x300). Queries !sizedetails. For every tier (including larger ones like L and XL), asserts width ≤ 400 and height ≤ 300. Catches upscaling bugs where the CDN generates tiers larger than the source image's native resolution.",c-sizing-small.jpg,,,,,,,,,,,,,,,,,,,
,SZ-09,!largestimage returns highest available dimensions,Queries !largestimage and verifies valid URL with dimensions ≤ original,Queries both the image record (for OriginalWidth/OriginalHeight) and !largestimage endpoint. Asserts !largestimage returns a valid URL with dimensions that don't exceed the original. Validates the API endpoint that clients use to request the best available resolution.,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,SZ-10,OriginalWidth/Height match source file,Compares API OriginalWidth/OriginalHeight against sharp metadata of source,Reads the source file's dimensions from sharp metadata. Queries the API image record for OriginalWidth and OriginalHeight. Asserts exact match. Catches dimension reporting bugs in the upload pipeline where the API reports different dimensions than the actual file contains.,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,SZ-11,OriginalSize matches source file byte count,Compares API OriginalSize against source file byte count,Reads the source file's byte count from fs.statSync. Queries the API image record for OriginalSize. Asserts exact match. Catches file size reporting errors that would break download progress indicators or storage quota calculations.,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
EXIF Orientation (API),,,,,,,,,,,,,,,,,,,,,,,,
,OR-01 to OR-08 (x8),Orientation N served image is corrected,"Uploads all 8 orientation variants, fetches L/XL tier, verifies valid dimensions","Uploads all 8 landscape orientation variants (tags 1–8) to the test album. For each, queries !sizedetails and finds the L or XL tier. Downloads the tier image and opens with sharp to verify it has positive dimensions. Confirms SmugMug's pipeline processes all 8 EXIF orientation tags without producing corrupt or zero-dimension output.",Landscape_{1-8}-*.jpg,,,,,,,,,,,,,,,,,,,
,OR-09,Orientation 6 updates API dimensions to display-corrected,"Uploads 6000x4000 with orientation 6, checks OriginalWidth ≤ OriginalHeight","Uploads the 6000x4000 orientation-6 image (raw pixels are landscape, but EXIF tag 6 means it should display as portrait). Queries the API image record and asserts OriginalWidth ≤ OriginalHeight. Validates that SmugMug reports display-corrected dimensions (4000x6000 portrait) rather than raw pixel dimensions (6000x4000 landscape).",c-Landscape_6-Rotated-90-CW-6000x4000.jpg,,,,,,,,,,,,,,,,,,,
,OR-10,Orientation 6 is portrait across all size tiers,"Fetches all tiers for orientation-6 image, verifies height >= width","Queries !sizedetails for the orientation-6 image. For each non-original tier, asserts height >= width. Catches tiers that serve the uncorrected landscape orientation — every tier should be portrait after orientation correction.",c-Landscape_6-Rotated-90-CW-6000x4000.jpg,,,,,,,,,,,,,,,,,,,
,OR-11,Orientation 6 renders as portrait in Lightbox,"Opens image in Lightbox, checks rendered bounding box is taller than wide","Navigates to the orientation-6 image's WebUri in a Playwright browser. Waits for the first visible img element, reads its bounding box, and asserts height > width. Validates end-to-end orientation correction from upload through CDN through browser rendering.",c-Landscape_6-Rotated-90-CW-6000x4000.jpg,,,,,,,,,,,,,,,,,,,
,OR-12,Orientation 6 thumbnail is portrait in gallery,"Navigates to Organize view, verifies thumbnails are present",Navigates to the Organize view for the test album. Waits for thumbnails to load and counts img elements with SmugMug URLs. Asserts at least one thumbnail is present. A best-effort check that the gallery view renders orientation-corrected thumbnails.,c-Landscape_6-Rotated-90-CW-6000x4000.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Metadata Preservation (API),,,,,,,,,,,,,,,,,,,,,,,,
,MP-01,Camera make and model preserved,"Queries !metadata, verifies Make and Model fields present",Uploads metadata-rich.jpg to the test album. Queries !metadata endpoint. Asserts both Make (or CameraMake) and Model (or CameraModel) fields are truthy. Catches pipelines that strip manufacturer identification during upload processing.,metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-02,Exposure settings preserved,"Verifies ExposureTime, FNumber, ISO present in !metadata","Queries !metadata for the uploaded metadata-rich.jpg. Asserts ExposureTime (or Exposure), FNumber (or Aperture), and ISO (or ISOSpeedRatings) are all defined. Validates the three core exposure triangle values survive SmugMug's upload pipeline.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-03,Focal length preserved,Verifies FocalLength present in !metadata,Queries !metadata for the uploaded metadata-rich.jpg. Asserts FocalLength is defined. Ensures lens focal length data survives for photographers who filter or search by lens characteristics.,metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-04,DateTimeOriginal preserved,Verifies DateTimeOriginal present in !metadata,"Queries !metadata for the uploaded metadata-rich.jpg. Asserts DateTimeOriginal (or DateCreated) is truthy. The most critical metadata field — it drives photo organization, timeline views, sorting, and date-based search throughout SmugMug.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-05,GPS coordinates preserved,Checks Latitude/Longitude on image object and in !metadata,"Queries both the image record (for Latitude/Longitude) and !metadata (for GPSLatitude/GPSLongitude). If the source EXIF contains GPS data, asserts at least one endpoint reports non-zero coordinates. Validates geotagging data survives for map and location features.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-06,GPS matches between image and metadata endpoints,Cross-checks GPS coordinates between image object and !metadata,"Queries both the image record and !metadata for GPS coordinates. If the image record has non-zero Latitude, checks that !metadata reports a matching value within 0.01 degrees. Catches inconsistencies between two API endpoints that should agree on the same GPS data.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-07,Lens info preserved,Verifies LensModel or LensInfo present in !metadata,"Queries !metadata for the uploaded metadata-rich.jpg. Checks for LensModel, LensInfo, or Lens fields. If the source EXIF contains lens data, asserts at least one of these fields is truthy. Lens data is important for photographers comparing equipment performance.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-08,White balance preserved,Verifies WhiteBalance present in !metadata,"Queries !metadata for the uploaded metadata-rich.jpg. If the source EXIF contains a WhiteBalance value, asserts the API also returns it. Lower priority field but still expected to survive processing.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-09,Flash status preserved,Verifies Flash value present in !metadata,"Queries !metadata for the uploaded metadata-rich.jpg. If the source EXIF contains a Flash value, asserts the API also returns it. Flash data helps photographers understand lighting conditions for each shot.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-10,Copyright field preserved,Verifies Copyright present in !metadata,"Queries !metadata for the uploaded metadata-rich.jpg. If the source EXIF contains a Copyright string, asserts the API returns it. Critical for professional photographers — copyright must never be stripped during upload processing.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-11,Artist/Author field preserved,Verifies Artist or Author present in !metadata,"Queries !metadata for the uploaded metadata-rich.jpg. If the source EXIF contains an Artist field, asserts the API returns Artist or Author. Attribution data that photographers embed in their files for credit purposes.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MP-12,IPTC caption preserved as Caption,"Uploads metadata-iptc.jpg, verifies Caption field populated",Uploads metadata-iptc.jpg (which has IPTC caption data embedded). Queries both the image record (for Caption) and !metadata (for Caption or Caption-Abstract). Asserts the caption field is populated with a non-empty value. Validates IPTC caption data maps correctly to SmugMug's Caption field.,metadata-iptc.jpg,,,,,,,,,,,,,,,,,,,
,MP-13,IPTC keywords preserved as Keywords,Verifies KeywordArray populated with keywords from IPTC data,Queries the image record for the uploaded metadata-iptc.jpg. Reads the KeywordArray field and asserts it's defined and contains at least one keyword. Keywords drive search and organization features — they must survive the upload pipeline.,metadata-iptc.jpg,,,,,,,,,,,,,,,,,,,
,MP-14,UserComment EXIF field preserved,Verifies UserComment present in !metadata,"Queries !metadata for the uploaded metadata-rich.jpg. If the source EXIF contains a UserComment field, asserts the API returns it. A free-text field some photographers use for notes or processing history.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Metadata Display (API),,,,,,,,,,,,,,,,,,,,,,,,
,MD-01,Lightbox info panel shows camera make/model,"Opens Lightbox, presses i, checks page content for camera brand names","Navigates to the uploaded metadata-rich.jpg's WebUri. Presses 'i' to open the Lightbox info panel. Reads the full page text content and checks for common camera brand names (Canon, Nikon, Sony, Apple, FUJIFILM). A soft check since page structure varies across SmugMug themes.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MD-02,Lightbox info panel shows exposure settings,"Checks page content for f-stop, ISO, shutter speed patterns","Opens the Lightbox info panel for metadata-rich.jpg. Scans page text for exposure-related patterns: f/ followed by a digit (aperture), ISO followed by digits, or 1/ followed by digits (shutter speed). Validates exposure data is formatted and displayed.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MD-03,Lightbox info panel shows focal length,Checks page content for mm focal length pattern,Opens the Lightbox info panel for metadata-rich.jpg. Scans page text for a number followed by 'mm' (case-insensitive). Validates focal length is displayed in the info panel.,metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MD-04,Lightbox info panel shows date taken,Checks page content for date patterns,Opens the Lightbox info panel for metadata-rich.jpg. Scans page text for a 4-digit year and a month name or numeric date pattern. Validates the capture date is displayed.,metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MD-05,Lightbox shows GPS when Geography enabled,Checks page content for coordinates or location text,"Opens the Lightbox info panel for metadata-rich.jpg. Scans page text for decimal coordinate patterns, 'Map', or 'Location' text. Validates location data appears when the gallery has Geography enabled.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MD-06,Lightbox hides GPS when Geography disabled,Skipped — requires gallery setting toggle,"Skipped — requires toggling the gallery's Geography setting via the SmugMug admin UI, which is not automated in this test suite. Would verify no location data appears in the info panel after disabling Geography.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MD-07,Lightbox hides GPS when site-level GPS off,Skipped — requires site setting toggle,"Skipped — requires toggling the site-level GPS privacy setting in Site Settings, which is not automated. Would verify no location data appears after disabling GPS at the site level.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MD-08,EXIF hidden when gallery EXIF setting is off,Skipped — requires gallery setting toggle,"Skipped — requires toggling the gallery's EXIF display setting, which is not automated. Would verify the Lightbox info panel hides all EXIF fields when the setting is off.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MD-09,Stripped image info panel has no undefined/null text,"Opens Lightbox for stripped image, checks body for undefined/null",Navigates to the uploaded metadata-stripped.jpg's WebUri. Presses 'i' to open the info panel. Reads the full page text and asserts it does not contain the literal strings 'undefined' or 'null'. Catches broken template rendering when EXIF data is completely absent.,metadata-stripped.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Metadata API (API),,,,,,,,,,,,,,,,,,,,,,,,
,MA-01,!metadata returns key EXIF fields,"Queries !metadata, checks for Make/Model/ExposureTime/FNumber/ISO/FocalLength/DateTimeOriginal","Uploads metadata-rich.jpg and queries !metadata. Checks for the presence of Make, Model, ExposureTime, FNumber, ISO, FocalLength, and DateTimeOriginal (including common variant key names). Counts how many are found and asserts at least 5 of 7 are present. Validates the API returns the expected superset of camera EXIF fields.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MA-02,!metadata for stripped image returns without error,"Queries !metadata for stripped image, verifies no camera fields and no error","Uploads metadata-stripped.jpg and queries !metadata. Asserts the response is defined (no HTTP error). Then checks that camera fields (Make, Model, ExposureTime, FNumber) are all absent. Ensures the API handles missing metadata gracefully rather than erroring or inventing default values.",metadata-stripped.jpg,,,,,,,,,,,,,,,,,,,
,MA-03,Format field matches uploaded file format,Checks Format field on image object contains jpg,Queries the image record for the uploaded metadata-rich.jpg. Reads the Format field and asserts it contains 'jpg' (case-insensitive). Validates format detection in the upload pipeline — a wrong format would cause incorrect content-type headers.,metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MA-04,FileName preserves original filename,Checks FileName field matches metadata-rich.jpg,"Queries the image record for the uploaded metadata-rich.jpg. Reads the FileName field and asserts it exactly equals 'metadata-rich.jpg'. Catches filename mangling during upload where the pipeline might rename, sanitize, or truncate the original filename.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MA-05,KeywordArray round-trips correctly,"PATCHes keywords, GETs image, verifies all keywords returned","PATCHes the image record with KeywordArray: ['sunset', 'ocean', 'HDR']. Then GETs the image record and reads KeywordArray. Asserts all three keywords are present in the returned array. Validates the keyword write/read cycle through the API — keywords drive search and organization.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MA-06,Title/Caption round-trip with special characters,"PATCHes title/caption with unicode/emoji/special chars, verifies exact match","PATCHes the image record with a title containing em-dashes, accented characters, and emoji (🌅), and a caption containing umlauts, smart quotes, and Japanese characters. GETs the image record and asserts both Title and Caption exactly match what was sent. Catches encoding bugs that mangle non-ASCII text.",metadata-rich.jpg,,,,,,,,,,,,,,,,,,,
,MA-07,!regions returns face/object regions for XMP image,"Uploads XMP regions image, queries !regions, verifies regions returned",Uploads c-metadata-xmp-regions.jpg (which has XMP face region data embedded). Queries !regions endpoint. Asserts at least one region is returned. Validates that SmugMug parses XMP face/object region data and makes it accessible through the API. Skipped if the XMP regions file doesn't exist.,c-metadata-xmp-regions.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Point of Interest (API),,,,,,,,,,,,,,,,,,,,,,,,
,POI-01,Default POI is near geometric center,"Queries !pointofinterest before setting one, checks coordinates within bounds","Uploads c-poi-test.jpg and queries !pointofinterest before setting any POI. If a default POI is returned, asserts x and y are both between 0 and 1. Validates the default crop center behavior — images with no explicit POI should either return null or center coordinates.",c-poi-test.jpg,,,,,,,,,,,,,,,,,,,
,POI-02,Setting POI updates crop center,"Sets POI to (0.25, 0.25) via API, reads back, verifies match","Sets the Point of Interest to (0.25, 0.25) via PATCH to !pointofinterest. Then GETs !pointofinterest and asserts the returned x is close to 0.25 and y is close to 0.25 (within 0.1 tolerance). Validates the POI write/read round-trip through the API.",c-poi-test.jpg,,,,,,,,,,,,,,,,,,,
,POI-03,POI behavior after image replace,"Sets POI, replaces image via upload API, checks persistence","Sets POI to (0.75, 0.75), then replaces the image by uploading c-sizing-landscape.jpg with the replaceImageUri option pointing to the original upload. Queries !pointofinterest after replacement and logs whether the POI persisted or reset. Asserts coordinates are within valid bounds if present. Documents the platform's POI persistence behavior.",c-poi-test.jpg + c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,POI-04,POI coordinates round-trip correctly,"Sets POI to (0.33, 0.67), reads back, verifies within tolerance","Sets POI to (0.33, 0.67) via PATCH. GETs !pointofinterest and asserts x is close to 0.33 and y is close to 0.67 (within 0.1 tolerance). Tests a different coordinate pair than POI-02 to validate precision across the coordinate space.",c-poi-test.jpg,,,,,,,,,,,,,,,,,,,
,POI-05,POI affects all cropped size tiers,"Sets POI, queries !sizedetails, verifies all tiers generated","Sets POI to (0.25, 0.25), then queries !sizedetails. Asserts at least one tier is returned and every tier has positive width and height. Confirms that setting a POI doesn't break tier generation — all tiers should still be produced normally.",c-poi-test.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Watermark (API),,,,,,,,,,,,,,,,,,,,,,,,
,WM-01,Watermark present on visitor-facing tiers,"Uploads to watermark-enabled gallery, fetches all tiers, verifies valid images","Uploads c-watermark-test.jpg to the test album. Queries the image record to check the Watermark boolean flag. Queries !sizedetails and downloads every tier, asserting each has non-zero byte length. Validates watermarked tiers are generated and downloadable. Actual watermark pixel verification depends on gallery watermark settings being enabled.",c-watermark-test.jpg,,,,,,,,,,,,,,,,,,,
,WM-02,Owner download has no watermark (MD5 matches source),Downloads ArchivedUri as owner and compares MD5 against source,Downloads the archived original from ArchivedUri (as the authenticated owner). Computes MD5 hex hash of the download and compares against MD5 of the source file. Asserts exact match. The owner's archived download should never contain a watermark regardless of gallery settings.,c-watermark-test.jpg,,,,,,,,,,,,,,,,,,,
,WM-03,Archived original has no watermark,Checks ArchivedSize matches source file byte count,"Reads ArchivedSize from the API image record and compares against the source file's byte count from fs.statSync. Asserts exact match. A complementary check to WM-02 — if the archived file has a watermark baked in, its size would differ from the source.",c-watermark-test.jpg,,,,,,,,,,,,,,,,,,,
,WM-04,Watermark pixel diff between tiers is consistent,"Downloads small and large tiers, verifies both are valid images",Downloads both a small tier (Th or S) and a large tier (L or XL) from !sizedetails. Opens each with sharp and asserts positive dimensions. Validates that watermark rendering (if enabled) doesn't corrupt or break images at different tier sizes.,c-watermark-test.jpg,,,,,,,,,,,,,,,,,,,
,WM-05,All tiers are valid images (watermark scaling check),"Downloads every tier, verifies actual dimensions match API-reported dimensions","Downloads every tier from !sizedetails. For each, opens with sharp and asserts the actual pixel dimensions match the API-reported Width and Height. Catches watermark rendering bugs that might corrupt specific tier sizes or produce dimension mismatches.",c-watermark-test.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Resolution Cap (API),,,,,,,,,,,,,,,,,,,,,,,,
,RC-01,No tier exceeds resolution cap,"Fetches all tiers, verifies no non-original tier exceeds TEST_RESOLUTION_CAP_MAX","Uploads c-resolution-cap-test.jpg. Queries !sizedetails. For each non-original tier, computes the longest edge and asserts it's ≤ TEST_RESOLUTION_CAP_MAX. Skipped if the env var is not set. Enforces the display resolution cap across all CDN tiers for visitor-facing images.",c-resolution-cap-test.jpg,,,,,,,,,,,,,,,,,,,
